start
halfway
(10000, 5392)
         2949286 function calls (2915701 primitive calls) in 14.653 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    51149    0.006    0.000    0.006    0.000 {method 'append' of 'list' objects}
        2    0.006    0.003    0.006    0.003 {built-in method matplotlib._c_internal_utils.display_is_valid}
        1    0.000    0.000    0.006    0.006 connection.py:1(<module>)
      428    0.001    0.000    0.006    0.000 rcsetup.py:310(validate_color)
        1    0.000    0.000    0.006    0.006 context.py:1(<module>)
        1    0.000    0.000    0.006    0.006 transforms.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _internal.py:1(<module>)
    38129    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
        3    0.003    0.001    0.006    0.002 C2_surface.py:22(sphere)
        1    0.000    0.000    0.006    0.006 _mathtext.py:1(<module>)
      137    0.000    0.000    0.006    0.000 rcsetup.py:88(f)
        5    0.000    0.000    0.006    0.001 _version.py:1(<module>)
     9648    0.003    0.000    0.005    0.000 inspect.py:632(_is_wrapper)
      598    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:391(cached)
       21    0.000    0.000    0.005    0.000 pyparsing.py:1518(setParseAction)
       25    0.000    0.000    0.005    0.000 pyparsing.py:1283(_trim_arity)
       24    0.000    0.000    0.005    0.000 pyparsing.py:1291(extract_stack)
      428    0.000    0.000    0.005    0.000 colors.py:111(is_color_like)
      286    0.001    0.000    0.005    0.000 overrides.py:89(verify_matching_signatures)
     6344    0.005    0.000    0.005    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.005    0.005 __init__.py:189(_check_versions)
       24    0.000    0.000    0.005    0.000 traceback.py:216(extract_stack)
        1    0.000    0.000    0.005    0.005 defchararray.py:1(<module>)
       24    0.000    0.000    0.005    0.000 traceback.py:338(extract)
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
    23916    0.005    0.000    0.005    0.000 enum.py:678(__new__)
      703    0.003    0.000    0.005    0.000 functools.py:35(update_wrapper)
      315    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
    21586    0.005    0.000    0.005    0.000 {built-in method numpy.geterrobj}
        2    0.000    0.000    0.005    0.002 ElementTree.py:1(<module>)
       11    0.000    0.000    0.005    0.000 pyparsing.py:1901(parseString)
        2    0.000    0.000    0.005    0.002 version.py:1(<module>)
        1    0.000    0.000    0.005    0.005 reduction.py:1(<module>)
      233    0.001    0.000    0.005    0.000 sre_compile.py:560(_compile_info)
      147    0.001    0.000    0.005    0.000 deprecation.py:133(deprecate)
      358    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:169(__enter__)
       10    0.000    0.000    0.004    0.000 pyparsing.py:5120(__init__)
        1    0.000    0.000    0.004    0.004 dates.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _mathtext.py:1882(Parser)
      239    0.000    0.000    0.004    0.000 rcsetup.py:282(validate_color_for_prop_cycle)
       96    0.000    0.000    0.004    0.000 traceback.py:301(line)
        2    0.000    0.000    0.004    0.002 function_base.py:1(<module>)
