         3016217 function calls (3003914 primitive calls) in 37.620 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      437    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
    51877    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
       27    0.000    0.000    0.008    0.000 pyparsing.py:3294(__init__)
       47    0.003    0.000    0.008    0.000 {built-in method builtins.eval}
     9648    0.005    0.000    0.007    0.000 inspect.py:632(_is_wrapper)
      472    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      428    0.001    0.000    0.007    0.000 rcsetup.py:310(validate_color)
      179    0.001    0.000    0.007    0.000 typing.py:1016(__init__)
      278    0.001    0.000    0.007    0.000 overrides.py:83(verify_matching_signatures)
       12    0.000    0.000    0.007    0.001 threading.py:916(start)
        1    0.000    0.000    0.007    0.007 cm.py:39(_gen_cmap_registry)
      373    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:169(__enter__)
    70/66    0.000    0.000    0.007    0.000 typing.py:401(__getitem__)
        1    0.000    0.000    0.007    0.007 context.py:1(<module>)
       66    0.000    0.000    0.007    0.000 typing.py:483(Union)
       12    0.000    0.000    0.006    0.001 context.py:110(SimpleQueue)
        1    0.000    0.000    0.006    0.006 _mathtext.py:1(<module>)
      706    0.004    0.000    0.006    0.000 functools.py:35(update_wrapper)
      137    0.000    0.000    0.006    0.000 rcsetup.py:88(f)
        1    0.000    0.000    0.006    0.006 _array_like.py:1(<module>)
        1    0.000    0.000    0.006    0.006 subprocess.py:1(<module>)
      428    0.000    0.000    0.006    0.000 colors.py:111(is_color_like)
    23914    0.006    0.000    0.006    0.000 enum.py:678(__new__)
      605    0.001    0.000    0.006    0.000 _inspect.py:96(getargspec)
        4    0.000    0.000    0.006    0.001 pool.py:345(_setup_queues)
       31    0.003    0.000    0.006    0.000 __init__.py:328(namedtuple)
      297    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      232    0.001    0.000    0.006    0.000 sre_compile.py:560(_compile_info)
    45288    0.006    0.000    0.006    0.000 {built-in method builtins.callable}
       12    0.000    0.000    0.005    0.000 queues.py:339(__init__)
        1    0.000    0.000    0.005    0.005 reduction.py:1(<module>)
        1    0.000    0.000    0.005    0.005 scale.py:1(<module>)
       32    0.001    0.000    0.005    0.000 pool.py:179(Process)
      147    0.001    0.000    0.005    0.000 deprecation.py:133(deprecate)
        2    0.000    0.000    0.005    0.003 version.py:1(<module>)
     6421    0.005    0.000    0.005    0.000 {method 'ravel' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.005    0.003 shape_base.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _mathtext.py:1882(Parser)
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
      239    0.000    0.000    0.005    0.000 rcsetup.py:282(validate_color_for_prop_cycle)
      823    0.001    0.000    0.005    0.000 {built-in method builtins.any}
       61    0.000    0.000    0.005    0.000 rcsetup.py:107(<listcomp>)
       24    0.000    0.000    0.005    0.000 context.py:65(Lock)
    25622    0.005    0.000    0.005    0.000 {built-in method numpy.geterrobj}
       11    0.000    0.000    0.005    0.000 pyparsing.py:1901(parseString)
      806    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.005    0.005 _internal.py:1(<module>)
      329    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
        1    0.000    0.000    0.005    0.005 _mathtext.py:2467(<lambda>)
        1    0.000    0.000    0.005    0.005 _mathtext.py:2467(<listcomp>)
     5996    0.002    0.000    0.005    0.000 sre_parse.py:255(get)
     6401    0.005    0.000    0.005    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
     8529    0.003    0.000    0.005    0.000 sre_parse.py:165(__getitem__)
        7    0.000    0.000    0.004    0.001 enum.py:536(_convert_)
     6404    0.004    0.000    0.004    0.000 linalg.py:140(isComplexType)
      448    0.001    0.000    0.004    0.000 colors.py:152(to_rgba)
       32    0.003    0.000    0.004    0.000 process.py:80(__init__)
      329    0.004    0.000    0.004    0.000 {method '__exit__' of '_io._IOBase' objects}
   260/11    0.001    0.000    0.004    0.000 pyparsing.py:1647(_parseNoCache)
      586    0.004    0.000    0.004    0.000 _inspect.py:65(getargs)
       24    0.000    0.000    0.004    0.000 synchronize.py:161(__init__)
