construction time 7.632368087768555
solution time 30.442911386489868
         2971872 function calls (2945852 primitive calls) in 41.278 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   124347    0.021    0.000    0.021    0.000 {method 'startswith' of 'str' objects}
       60    0.000    0.000    0.021    0.000 context.py:65(Lock)
        1    0.000    0.000    0.020    0.020 ir_utils.py:1(<module>)
     1264    0.001    0.000    0.020    0.000 __init__.py:627(__setitem__)
     9097    0.020    0.000    0.020    0.000 {method 'search' of 're.Pattern' objects}
     8655    0.013    0.000    0.020    0.000 inspect.py:66(get_annotations)
      290    0.000    0.000    0.019    0.000 ffi.py:132(_lib)
        1    0.000    0.000    0.019    0.019 ffi.py:117(_load_lib)
       60    0.000    0.000    0.019    0.000 synchronize.py:161(__init__)
       60    0.013    0.000    0.019    0.000 synchronize.py:50(__init__)
        1    0.000    0.000    0.018    0.018 Image.py:1(<module>)
       77    0.000    0.000    0.018    0.000 extending.py:129(decorate)
     3755    0.004    0.000    0.018    0.000 _ufunc_config.py:435(__exit__)
       25    0.000    0.000    0.018    0.001 castgraph.py:131(unsafe)
        2    0.000    0.000    0.018    0.009 core.py:193(read_style_directory)
  372/369    0.001    0.000    0.017    0.000 abstract.py:61(__call__)
     7832    0.002    0.000    0.017    0.000 sre_parse.py:255(get)
        1    0.000    0.000    0.017    0.017 _pickle.py:1(<module>)
       30    0.000    0.000    0.017    0.001 threading.py:916(start)
        2    0.000    0.000    0.017    0.008 __init__.py:340(__init__)
        1    0.000    0.000    0.017    0.017 entrypoints.py:1(<module>)
        2    0.017    0.008    0.017    0.008 {built-in method _ctypes.dlopen}
        4    0.005    0.001    0.017    0.004 C2_surface.py:58(sphere)
        2    0.000    0.000    0.017    0.008 extending.py:1(<module>)
    42/37    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
    42/37    0.004    0.000    0.016    0.000 {built-in method _imp.exec_dynamic}
       28    0.000    0.000    0.016    0.001 __init__.py:841(rc_params_from_file)
     9512    0.016    0.000    0.016    0.000 sre_parse.py:234(__next)
        1    0.000    0.000    0.016    0.016 table.py:1(<module>)
        1    0.000    0.000    0.016    0.016 pyplot.py:206(switch_backend)
    32058    0.015    0.000    0.015    0.000 {method 'expandtabs' of 'str' objects}
      290    0.015    0.000    0.015    0.000 functions.py:245(__init__)
      587    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        1    0.000    0.000    0.015    0.015 cm.py:1(<module>)
        1    0.000    0.000    0.015    0.015 parfor_lowering.py:1(<module>)
        1    0.000    0.000    0.014    0.014 _secondary_axes.py:1(<module>)
       80    0.002    0.000    0.014    0.000 pool.py:179(Process)
      755    0.001    0.000    0.014    0.000 abc.py:105(__new__)
        1    0.000    0.000    0.014    0.014 py3k.py:1(<module>)
        1    0.000    0.000    0.014    0.014 pyplot.py:267(backend_mod)
    22509    0.014    0.000    0.014    0.000 fromnumeric.py:70(<dictcomp>)
        1    0.000    0.000    0.013    0.013 loader.py:1(<module>)
        1    0.000    0.000    0.013    0.013 backend_tkagg.py:1(<module>)
       80    0.009    0.000    0.012    0.000 process.py:80(__init__)
        1    0.000    0.000    0.012    0.012 __init__.py:2275(class_factory)
      376    0.011    0.000    0.012    0.000 sre_compile.py:292(_optimize_charset)
     3062    0.012    0.000    0.012    0.000 {built-in method __new__ of type object at 0x55b168d979a0}
        2    0.000    0.000    0.012    0.006 _adapters.py:1(<module>)
    28553    0.009    0.000    0.012    0.000 inspect.py:2962(<genexpr>)
        1    0.000    0.000    0.012    0.012 cm.py:39(_gen_cmap_registry)
     7510    0.011    0.000    0.012    0.000 _ufunc_config.py:132(geterr)
        1    0.000    0.000    0.012    0.012 _backend_tk.py:1(<module>)
        1    0.000    0.000    0.012    0.012 pythonapi.py:1(<module>)
       27    0.000    0.000    0.011    0.000 pyparsing.py:3294(__init__)
     1042    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
        1    0.000    0.000    0.011    0.011 __init__.py:13(_ensure_critical_deps)
        1    0.000    0.000    0.011    0.011 pyparsing.py:6398(pyparsing_common)
        3    0.000    0.000    0.011    0.004 warnings.py:130(filterwarnings)
        1    0.000    0.000    0.011    0.011 artist.py:1(<module>)
      818    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     4842    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       10    0.000    0.000    0.011    0.001 typeconv.py:103(safe_unsafe)
      755    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     4000    0.005    0.000    0.011    0.000 artist.py:1448(aliased_name)
       92    0.001    0.000    0.011    0.000 __init__.py:1342(_preprocess_data)
        2    0.000    0.000    0.011    0.005 module.py:1(<module>)
     3789    0.003    0.000    0.010    0.000 <__array_function__ internals>:177(result_type)
21274/21233    0.008    0.000    0.010    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.010    0.010 message.py:1(<module>)
21413/21392    0.006    0.000    0.010    0.000 abstract.py:121(__hash__)
        1    0.000    0.000    0.010    0.010 codegen.py:1(<module>)
        1    0.000    0.000    0.010    0.010 category.py:1(<module>)
        3    0.000    0.000    0.010    0.003 version.py:1(<module>)
      101    0.003    0.000    0.010    0.000 artist.py:139(<listcomp>)
        1    0.000    0.000    0.010    0.010 mathtext.py:1(<module>)
       72    0.004    0.000    0.010    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.010    0.010 parfor.py:1(<module>)
     2184    0.005    0.000    0.010    0.000 inspect.py:653(_findclass)
        1    0.000    0.000    0.010    0.010 value.py:1(<module>)
       90    0.009    0.000    0.009    0.000 util.py:186(__init__)
        1    0.000    0.000    0.009    0.009 spines.py:1(<module>)
     3785    0.004    0.000    0.009    0.000 contextlib.py:139(__exit__)
    11861    0.009    0.000    0.009    0.000 {built-in method numpy.asanyarray}
      262    0.002    0.000    0.009    0.000 sre_compile.py:560(_compile_info)
       32    0.001    0.000    0.009    0.000 colors.py:927(from_list)
      314    0.001    0.000    0.009    0.000 overrides.py:170(decorator)
      626    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:169(__enter__)
    42483    0.007    0.000    0.009    0.000 {method 'get' of 'dict' objects}
     1084    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:391(cached)
     1346    0.005    0.000    0.009    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.008    0.008 index_tricks.py:1(<module>)
        1    0.000    0.000    0.008    0.008 scale.py:1(<module>)
       88    0.006    0.000    0.008    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.008    0.008 secrets.py:1(<module>)
        1    0.000    0.000    0.008    0.008 platform.py:1(<module>)
        1    0.000    0.000    0.008    0.008 numeric.py:1(<module>)
       17    0.000    0.000    0.008    0.000 rcsetup.py:710(validate_cycler)
        1    0.000    0.000    0.008    0.008 _parser.py:1(<module>)
        1    0.000    0.000    0.008    0.008 <frozen importlib._bootstrap_external>:1094(_cache_bytecode)
    19731    0.006    0.000    0.008    0.000 inspect.py:277(isfunction)
      563    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
