         2861753 function calls (2849461 primitive calls) in 64.299 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.003    0.000 pyparsing.py:5120(__init__)
        1    0.000    0.000    0.003    0.003 ntpath.py:1(<module>)
     5401    0.003    0.000    0.003    0.000 {method 'set' of '_contextvars.ContextVar' objects}
     32/9    0.000    0.000    0.003    0.000 pyparsing.py:4466(leaveWhitespace)
     1594    0.001    0.000    0.003    0.000 typing.py:935(_is_dunder)
       19    0.001    0.000    0.003    0.000 enum.py:180(__new__)
      328    0.003    0.000    0.003    0.000 {method '__exit__' of '_io._IOBase' objects}
     7235    0.003    0.000    0.003    0.000 sre_parse.py:234(__next)
    11932    0.002    0.000    0.003    0.000 _mathtext.py:2469(<genexpr>)
      242    0.002    0.000    0.003    0.000 sre_compile.py:292(_optimize_charset)
      182    0.003    0.000    0.003    0.000 typing.py:206(_collect_type_vars)
        1    0.000    0.000    0.003    0.003 Matrix_construct_new.py:11(construct_RHS)
        1    0.000    0.000    0.003    0.003 font_manager.py:1429(_load_fontmanager)
       61    0.000    0.000    0.003    0.000 rcsetup.py:107(<listcomp>)
      448    0.001    0.000    0.003    0.000 colors.py:152(to_rgba)
      239    0.000    0.000    0.003    0.000 rcsetup.py:282(validate_color_for_prop_cycle)
      410    0.000    0.000    0.003    0.000 pyparsing.py:1423(copy)
      328    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
     1338    0.001    0.000    0.003    0.000 re.py:187(match)
    23619    0.003    0.000    0.003    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.003    0.003 _char_codes.py:1(<module>)
       39    0.000    0.000    0.003    0.000 typing.py:407(__getitem__)
        1    0.000    0.000    0.003    0.003 font_manager.py:1010(json_load)
        8    0.000    0.000    0.003    0.000 enum.py:483(_create_)
       27    0.000    0.000    0.003    0.000 typing.py:1323(__class_getitem__)
    21622    0.003    0.000    0.003    0.000 {built-in method numpy.geterrobj}
        1    0.000    0.000    0.003    0.003 __init__.py:274(load)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
   260/11    0.001    0.000    0.003    0.000 pyparsing.py:1647(_parseNoCache)
     5974    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.003    0.003 PngImagePlugin.py:1(<module>)
       39    0.000    0.000    0.003    0.000 typing.py:532(Literal)
    63/11    0.000    0.000    0.003    0.000 pyparsing.py:4049(parseImpl)
       10    0.000    0.000    0.003    0.000 pyparsing.py:3140(__init__)
        1    0.000    0.000    0.003    0.003 __init__.py:299(loads)
        1    0.000    0.000    0.003    0.003 decoder.py:332(decode)
        1    0.000    0.000    0.003    0.003 version.py:257(Version)
        2    0.000    0.000    0.003    0.001 ElementTree.py:1(<module>)
        1    0.001    0.001    0.003    0.003 decoder.py:343(raw_decode)
      410    0.001    0.000    0.003    0.000 copy.py:66(copy)
        3    0.000    0.000    0.003    0.001 patches.py:2159(pprint_styles)
       16    0.000    0.000    0.003    0.000 rcsetup.py:618(cycler)
        1    0.000    0.000    0.002    0.002 transforms.py:1(<module>)
        1    0.000    0.000    0.002    0.002 connection.py:1(<module>)
     56/9    0.000    0.000    0.002    0.000 pyparsing.py:3897(leaveWhitespace)
      592    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      805    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:100(acquire)
        1    0.000    0.000    0.002    0.002 dates.py:1(<module>)
       18    0.000    0.000    0.002    0.000 rcsetup.py:390(validate_font_properties)
      805    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:125(release)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
        2    0.000    0.000    0.002    0.001 __init__.py:12(__getattr__)
        9    0.000    0.000    0.002    0.000 fontconfig_pattern.py:119(parse)
        3    0.000    0.000    0.002    0.001 patches.py:2163(<listcomp>)
   114/56    0.000    0.000    0.002    0.000 pyparsing.py:3968(copy)
     5406    0.002    0.000    0.002    0.000 linalg.py:140(isComplexType)
      303    0.001    0.000    0.002    0.000 typing.py:146(_type_check)
        1    0.000    0.000    0.002    0.002 plane_wave.py:3(__init__)
        1    0.000    0.000    0.002    0.002 _methods.py:1(<module>)
       18    0.002    0.000    0.002    0.000 {built-in method _thread.start_new_thread}
     4125    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
      319    0.000    0.000    0.002    0.000 typing.py:515(<genexpr>)
     5406    0.002    0.000    0.002    0.000 _ufunc_config.py:426(__init__)
        1    0.000    0.000    0.002    0.002 axes3d.py:44(Axes3D)
