here 1
 here 3
here 2
         36639787 function calls (35992064 primitive calls) in 29.556 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       84    0.001    0.000    0.080    0.001 backend_bases.py:3058(mouse_move)
    63584    0.046    0.000    0.080    0.000 function_base.py:346(iterable)
     7350    0.009    0.000    0.079    0.000 <__array_function__ internals>:177(einsum)
        4    0.000    0.000    0.079    0.020 context.py:1(<module>)
    14814    0.015    0.000    0.079    0.000 fromnumeric.py:2829(amin)
      4/3    0.000    0.000    0.079    0.026 utils.py:687(__init__)
   439653    0.078    0.000    0.078    0.000 {function _TargetRegistry.__getitem__ at 0x7f71c2295090}
    22066    0.026    0.000    0.078    0.000 __init__.py:1661(safe_first_element)
        1    0.000    0.000    0.078    0.078 pyplot.py:267(backend_mod)
     3700    0.026    0.000    0.077    0.000 shape_base.py:383(stack)
        8    0.000    0.000    0.077    0.010 collections.py:988(draw)
   315693    0.077    0.000    0.077    0.000 __init__.py:152(<genexpr>)
        1    0.000    0.000    0.077    0.077 ir_utils.py:1(<module>)
        1    0.000    0.000    0.076    0.076 Image.py:1(<module>)
    22328    0.024    0.000    0.075    0.000 units.py:56(_is_natively_supported)
     3740    0.010    0.000    0.075    0.000 fromnumeric.py:2333(any)
        1    0.000    0.000    0.075    0.075 backend_tkagg.py:1(<module>)
        1    0.000    0.000    0.075    0.075 figure.py:646(add_subplot)
        1    0.000    0.000    0.075    0.075 cpu.py:1(<module>)
        1    0.000    0.000    0.074    0.074 callconv.py:1(<module>)
   116488    0.043    0.000    0.074    0.000 shape_base.py:207(_arrays_for_stack_dispatcher)
    91337    0.053    0.000    0.074    0.000 {built-in method _abc._abc_instancecheck}
        2    0.001    0.000    0.073    0.036 core.py:1(<module>)
        1    0.000    0.000    0.072    0.072 legend.py:1(<module>)
        1    0.000    0.000    0.072    0.072 geo.py:1(<module>)
       29    0.000    0.000    0.072    0.002 axis.py:2052(_get_tick)
     3695    0.024    0.000    0.072    0.000 transforms.py:1100(__init__)
       29    0.001    0.000    0.072    0.002 axis.py:414(__init__)
        1    0.000    0.000    0.071    0.071 base.py:1(<module>)
     4998    0.011    0.000    0.071    0.000 fromnumeric.py:51(_wrapfunc)
        1    0.000    0.000    0.070    0.070 art3d.py:1(<module>)
     3679    0.008    0.000    0.070    0.000 collections.py:755(set_facecolor)
     3696    0.006    0.000    0.070    0.000 transforms.py:803(unit)
       84    0.001    0.000    0.069    0.001 backend_bases.py:3037(_mouse_event_to_message)
    40721    0.069    0.000    0.069    0.000 cycler.py:239(__iter__)
      127    0.005    0.000    0.069    0.001 docstring.py:36(__call__)
     4143    0.006    0.000    0.069    0.000 <__array_function__ internals>:177(reshape)
        1    0.000    0.000    0.068    0.068 special.py:1(<module>)
  115/105    0.000    0.000    0.068    0.001 docstring.py:83(__call__)
    11059    0.013    0.000    0.068    0.000 <__array_function__ internals>:177(atleast_1d)
       47    0.002    0.000    0.068    0.001 axes3d.py:1194(format_coord)
     3697    0.006    0.000    0.067    0.000 deprecation.py:291(wrapper)
        2    0.000    0.000    0.066    0.033 core.py:193(read_style_directory)
        1    0.000    0.000    0.066    0.066 secrets.py:1(<module>)
   117728    0.040    0.000    0.066    0.000 artist.py:240(<genexpr>)
    58850    0.039    0.000    0.066    0.000 collections.py:775(get_edgecolor)
    14810    0.012    0.000    0.065    0.000 fromnumeric.py:2703(amax)
        7    0.000    0.000    0.065    0.009 _backend_tk.py:630(_set_image_for_button)
       13    0.000    0.000    0.063    0.005 docstring.py:55(__missing__)
    33078    0.036    0.000    0.063    0.000 fromnumeric.py:1781(ravel)
       28    0.000    0.000    0.062    0.002 __init__.py:841(rc_params_from_file)
      120    0.000    0.000    0.062    0.001 re.py:249(compile)
        1    0.000    0.000    0.061    0.061 _base.py:1(<module>)
   322509    0.061    0.000    0.061    0.000 {built-in method numpy.asanyarray}
       39    0.002    0.000    0.061    0.002 axis3d.py:136(get_major_ticks)
33870/26387    0.053    0.000    0.061    0.000 transforms.py:180(_invalidate_internal)
     3694    0.019    0.000    0.060    0.000 __init__.py:214(connect)
    25558    0.017    0.000    0.060    0.000 artist.py:405(pchanged)
        2    0.000    0.000    0.060    0.030 extending.py:1(<module>)
        1    0.000    0.000    0.060    0.060 _subplots.py:14(__init__)
       29    0.001    0.000    0.059    0.002 axis.py:57(__init__)
        1    0.000    0.000    0.059    0.059 axes3d.py:56(__init__)
    15626    0.012    0.000    0.059    0.000 artist.py:242(convert_xunits)
        1    0.000    0.000    0.059    0.059 _backend_tk.py:1(<module>)
        1    0.000    0.000    0.059    0.059 _backend_tk.py:164(__init__)
     3677    0.008    0.000    0.058    0.000 transforms.py:808(null)
     7355    0.053    0.000    0.057    0.000 {built-in method matplotlib._path.update_path_extents}
        1    0.000    0.000    0.057    0.057 offsetbox.py:1(<module>)
     4143    0.005    0.000    0.057    0.000 fromnumeric.py:198(reshape)
    44231    0.045    0.000    0.055    0.000 __init__.py:823(clean)
     3684    0.006    0.000    0.055    0.000 <__array_function__ internals>:177(zeros_like)
   120094    0.029    0.000    0.054    0.000 transforms.py:222(<lambda>)
       92    0.002    0.000    0.054    0.001 backend_bases.py:1416(__init__)
      374    0.002    0.000    0.054    0.000 backend_agg.py:251(get_text_width_height_descent)
        3    0.000    0.000    0.053    0.018 axis3d.py:453(get_tightbbox)
    33167    0.046    0.000    0.053    0.000 getlimits.py:476(__new__)
